uis,text,favoriteCount,created,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted
2977,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:06,1.18738E+18,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",evrenk,559,TRUE,FALSE
2978,RT @canongatebooks: Okay the great #RoomToDream Lynch rewatch begins in 10 mins with the #TwinPeaks pilot if anyone wants to watch along. T�,0,24/10/2019 15:05,1.18738E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",nyllwcld,4,TRUE,FALSE
2979,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:04,1.18738E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",cormac_walsh_,559,TRUE,FALSE
2980,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:03,1.18738E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",bmichael,559,TRUE,FALSE
2981,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:03,1.18738E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",unicornjulia,559,TRUE,FALSE
2982,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:02,1.18738E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",CJHancock01,559,TRUE,FALSE
2983,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:02,1.18738E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Bandcloud,559,TRUE,FALSE
2984,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:01,1.18738E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MetalHeavyMeido,559,TRUE,FALSE
2985,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:01,1.18738E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",chrysanthemoms,559,TRUE,FALSE
2986,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:00,1.18738E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ThinksAmoral,559,TRUE,FALSE
2987,RT @TwinPeaksArchve: One week to go! #TwinPeaks https://t.co/AF5fDOzrPh https://t.co/OWjMI8fVi9,0,24/10/2019 15:00,1.18738E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TwinPeaksRevolu,2,TRUE,FALSE
2988,"David Lynch painting.
.
.
.
.
#davidlynch #twinpeaks #art #instalike #photography #picoftheday #photooftheday� https://t.co/7UubGk1AIW",27,24/10/2019 15:00,1.18738E+18,NA,"<a href=""https://www.later.com"" rel=""nofollow"">LaterMedia</a>",universoLynch,7,FALSE,FALSE
2989,A photo of Dale Cooper from Twin Peaks every hour. #twinpeaks https://t.co/WFFwOahWIf,3,24/10/2019 15:00,1.18738E+18,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",DaleCooperHour,0,FALSE,FALSE
2990,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:00,1.18738E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",WeAreVERDIGRLS,559,TRUE,FALSE
2991,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 14:59,1.18738E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",samojoh,559,TRUE,FALSE
2992,"Twin peaks fans! 
#GBBO 
#TwinPeaks https://t.co/QFggZBL3DH",1,24/10/2019 14:59,1.18738E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",pinupsj,0,FALSE,FALSE
2993,RT @hellboyberry: Now this is something I didn't expect to see today. Love it! #WherePiesGoWhenTheyDie #TwinPeaks #GBBO https://t.co/qdjqFc�,0,24/10/2019 14:59,1.18738E+18,NA,"<a href=""http://www.placeholder.com"" rel=""nofollow"">Twin Peaks bot news</a>",TwinPeaksBotNew,1,TRUE,FALSE
2994,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 14:57,1.18738E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",windrivver,559,TRUE,FALSE
2995,Now this is something I didn't expect to see today. Love it! #WherePiesGoWhenTheyDie #TwinPeaks #GBBO https://t.co/qdjqFcuSPV,0,24/10/2019 14:57,1.18738E+18,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",hellboyberry,1,FALSE,FALSE
2996,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 14:56,1.18738E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",robotdere,559,TRUE,FALSE
2997,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 14:56,1.18738E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Shannow,559,TRUE,FALSE
2998,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 14:56,1.18738E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kashmirwitch,559,TRUE,FALSE
2999,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 14:55,1.18738E+18,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",SuperRetroid,559,TRUE,FALSE
3000,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 14:55,1.18738E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Zerglinator,559,TRUE,FALSE
3001,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 14:54,1.18738E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",EgregiousWeasel,559,TRUE,FALSE
3002,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 14:54,1.18738E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",findomearle,559,TRUE,FALSE
3003,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 14:54,1.18738E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",firewlkr6,559,TRUE,FALSE
3004,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 14:54,1.18738E+18,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",hellboyberry,559,TRUE,FALSE
3005,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 14:53,1.18738E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MrDelabee,559,TRUE,FALSE
3006,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 14:53,1.18738E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",olix0r,559,TRUE,FALSE
