"","Episode","word","sentiment"
"711",NA,"acerbically","negative"
"712",NA,"ache","negative"
"713",NA,"ached","negative"
"714",NA,"aches","negative"
"715",NA,"achey","negative"
"716",NA,"achievable","positive"
"717",NA,"achievement","positive"
"718",NA,"achievements","positive"
"719",NA,"achievible","positive"
"720",NA,"aching","negative"
"721",NA,"acrid","negative"
"722",NA,"acridly","negative"
"723",NA,"acridness","negative"
"724",NA,"acrimonious","negative"
"725",NA,"acrimoniously","negative"
"726",NA,"acrimony","negative"
"727",NA,"acumen","positive"
"728",NA,"adamant","negative"
"729",NA,"adamantly","negative"
"730",NA,"adaptable","positive"
"731",NA,"adaptive","positive"
"732",NA,"addict","negative"
"733",NA,"addicted","negative"
"734",NA,"addicting","negative"
"735",NA,"addicts","negative"
"736",NA,"adequate","positive"
"737",NA,"adjustable","positive"
"738",NA,"admirable","positive"
"739",NA,"admirably","positive"
"740",NA,"admiration","positive"
"741",NA,"admire","positive"
"742",NA,"admirer","positive"
"743",NA,"admiring","positive"
"744",NA,"admiringly","positive"
"745",NA,"admonish","negative"
"746",NA,"admonisher","negative"
"747",NA,"admonishingly","negative"
"748",NA,"admonishment","negative"
"749",NA,"admonition","negative"
"750",NA,"adorable","positive"
"751",NA,"adore","positive"
"752",NA,"adored","positive"
"753",NA,"adorer","positive"
"754",NA,"adoring","positive"
"755",NA,"adoringly","positive"
"756",NA,"adroit","positive"
"757",NA,"adroitly","positive"
"758",NA,"adulate","positive"
"759",NA,"adulation","positive"
"760",NA,"adulatory","positive"
"761",NA,"adulterate","negative"
"762",NA,"adulterated","negative"
"763",NA,"adulteration","negative"
"764",NA,"adulterier","negative"
"765",NA,"advanced","positive"
"766",NA,"advantage","positive"
"767",NA,"advantageous","positive"
"768",NA,"advantageously","positive"
"769",NA,"advantages","positive"
"770",NA,"adventuresome","positive"
"771",NA,"adventurous","positive"
"772",NA,"adversarial","negative"
"773",NA,"adversary","negative"
"774",NA,"adverse","negative"
"775",NA,"adversity","negative"
"776",NA,"advocate","positive"
"777",NA,"advocated","positive"
"778",NA,"advocates","positive"
"779",NA,"affability","positive"
"780",NA,"affable","positive"
"781",NA,"affably","positive"
"782",NA,"affectation","positive"
"783",NA,"affection","positive"
"784",NA,"affectionate","positive"
"785",NA,"affinity","positive"
"786",NA,"affirm","positive"
"787",NA,"affirmation","positive"
"788",NA,"affirmative","positive"
"789",NA,"afflict","negative"
"790",NA,"affliction","negative"
"791",NA,"afflictive","negative"
"792",NA,"affluence","positive"
"793",NA,"affluent","positive"
"794",NA,"afford","positive"
"795",NA,"affordable","positive"
"796",NA,"affordably","positive"
"797",NA,"affront","negative"
"798",NA,"afordable","positive"
"799",NA,"afraid","negative"
"800",NA,"aggravate","negative"
"801",NA,"aggravating","negative"
"802",NA,"aggravation","negative"
"803",NA,"aggression","negative"
"804",NA,"aggressive","negative"
"805",NA,"aggressiveness","negative"
"806",NA,"aggressor","negative"
"807",NA,"aggrieve","negative"
"808",NA,"aggrieved","negative"
"809",NA,"aggrivation","negative"
"810",NA,"aghast","negative"
"811",NA,"agile","positive"
"812",NA,"agilely","positive"
"813",NA,"agility","positive"
"814",NA,"agonies","negative"
"815",NA,"agonize","negative"
"816",NA,"agonizing","negative"
"817",NA,"agonizingly","negative"
"818",NA,"agony","negative"
"819",NA,"agreeable","positive"
"820",NA,"agreeableness","positive"
"821",NA,"agreeably","positive"
"822",NA,"aground","negative"
"823",NA,"ail","negative"
"824",NA,"ailing","negative"
"825",NA,"ailment","negative"
"826",NA,"aimless","negative"
"827",NA,"alarm","negative"
"828",NA,"alarmed","negative"
"829",NA,"alarming","negative"
"830",NA,"alarmingly","negative"
"831",NA,"alienate","negative"
"832",NA,"alienated","negative"
"833",NA,"alienation","negative"
"834",NA,"all-around","positive"
"835",NA,"allegation","negative"
"836",NA,"allegations","negative"
"837",NA,"allege","negative"
"838",NA,"allergic","negative"
"839",NA,"allergies","negative"
"840",NA,"allergy","negative"
"841",NA,"alluring","positive"
"842",NA,"alluringly","positive"
"843",NA,"aloof","negative"
"844",NA,"altercation","negative"
"845",NA,"altruistic","positive"
"846",NA,"altruistically","positive"
"847",NA,"amaze","positive"
"848",NA,"amazed","positive"
"849",NA,"amazement","positive"
"850",NA,"amazes","positive"
"851",NA,"amazing","positive"
"852",NA,"amazingly","positive"
"853",NA,"ambiguity","negative"
"854",NA,"ambiguous","negative"
"855",NA,"ambitious","positive"
"856",NA,"ambitiously","positive"
"857",NA,"ambivalence","negative"
"858",NA,"ambivalent","negative"
"859",NA,"ambush","negative"
"860",NA,"ameliorate","positive"
"861",NA,"amenable","positive"
"862",NA,"amenity","positive"
"863",NA,"amiability","positive"
"864",NA,"amiabily","positive"
"865",NA,"amiable","positive"
"866",NA,"amicability","positive"
"867",NA,"amicable","positive"
"868",NA,"amicably","positive"
"869",NA,"amiss","negative"
"870",NA,"amity","positive"
"871",NA,"ample","positive"
"872",NA,"amply","positive"
"873",NA,"amputate","negative"
"874",NA,"amuse","positive"
"875",NA,"amusing","positive"
"876",NA,"amusingly","positive"
"877",NA,"anarchism","negative"
"878",NA,"anarchist","negative"
"879",NA,"anarchistic","negative"
"880",NA,"anarchy","negative"
"881",NA,"anemic","negative"
"882",NA,"angel","positive"
"883",NA,"angelic","positive"
"884",NA,"anger","negative"
"885",NA,"angrily","negative"
"886",NA,"angriness","negative"
"887",NA,"angry","negative"
"888",NA,"anguish","negative"
"889",NA,"animosity","negative"
"890",NA,"annihilate","negative"
"891",NA,"annihilation","negative"
"892",NA,"annoy","negative"
"893",NA,"annoyance","negative"
